title,content,status,user_id,category_ids
"How to Get Started with Laravel","<p>Laravel is a powerful PHP framework. Here's how to install it:</p><ul><li>Install Composer</li><li>Run composer create-project laravel/laravel example-app</li><li>Configure your .env file</li></ul><p>Start building!</p>","published","1","2,3"
"The Future of Web Development","<h2>Trends in 2023</h2><p>AI integration, PWAs, and more. <a href='https://example.com'>Read more</a>.</p>","draft","1","1,4"
"Boosting Productivity as a Developer","<p>Tips include: <strong>Time blocking</strong>, <em>pomodoro technique</em>, and regular breaks.</p>","published","1","5"
"Understanding Eloquent ORM","<p>Eloquent makes database interactions easy. Example: <code>User::find(1);</code></p>","published","1","2,3"
"Building a Blog with Laravel","<p>Step-by-step guide: Migrations, Models, Controllers, and Views.</p>","draft","1","3,4"
"Mastering PHP 8 Features","<p>PHP 8 introduced powerful features like attributes, union types, and the JIT compiler.</p><ul><li>Use Attributes for cleaner metadata</li><li>Optimize performance with JIT</li><li>Take advantage of match expressions</li></ul>","published","1","2,4"
"Improving Website Performance","<p>Boost load times using caching, minification, and image optimization.</p><p>Tools like Lighthouse help measure progress.</p>","published","1","1,5"
"Getting Started with Vue.js","<p>Vue is a progressive JavaScript framework.</p><ul><li>Create components</li><li>Use reactive data</li><li>Integrate with Laravel</li></ul>","draft","1","3,4"
"API Authentication with Laravel Sanctum","<p>Sanctum provides lightweight authentication for SPAs and mobile apps.</p><p>Setup involves publishing configs and adding middleware.</p>","published","1","2,3"
"Deploying Laravel Apps on DigitalOcean","<p>Deploy using droplets, Nginx, and Laravel Forge.</p><p>Don't forget to set up queues and caching!</p>","draft","1","4,5"
"Debugging in Laravel with Telescope","<p>Laravel Telescope helps monitor requests, exceptions, and queries.</p><p>Install via Composer and enable in your config files.</p>","published","1","2,3"
"Writing Clean Code in PHP","<p>Follow SOLID principles, keep functions small, and write clear variable names.</p><p>Consistency is key.</p>","published","1","5"
"Understanding RESTful APIs","<p>REST principles include statelessness, resources, and uniform interfaces.</p><p>Great for building scalable web services.</p>","published","1","1,4"
"Intro to Tailwind CSS","<p>Utility-first CSS for rapid UI development.</p><ul><li>Responsive classes</li><li>Design tokens</li><li>Reusable components</li></ul>","draft","1","3,5"
"How to Use Laravel Queues","<p>Queues help handle time-consuming tasks asynchronously.</p><p>Use workers, drivers, and dispatchable jobs.</p>","published","1","2,3"
